timestamp,url,strategy,performance_score,fcp,lcp,cls,speed_index,tbt
2026-09-23T10:38:33,https://penunggul.kim.id/berita/read/bkb-anggrek-1-desa-penunggul-gelar-80750-351421201001/0,mobile,70,3.3 s,6.1 s,0.001,3.8 s,20 ms
2026-09-23T10:39:01,https://penunggul.kim.id/berita/read/bkb-anggrek-1-desa-penunggul-gelar-80750-351421201001/0,desktop,86,0.8 s,1.6 s,0.131,1.7 s,0 ms
2026-09-23T10:39:31,https://penunggul.kim.id/berita/read/semarak-mpls-sdn-penunggul-sambut-p80695-351421201001/0,mobile,56,3.2 s,15.6 s,0.184,5.4 s,0 ms
2026-09-23T10:40:01,https://penunggul.kim.id/berita/read/semarak-mpls-sdn-penunggul-sambut-p80695-351421201001/0,desktop,68,0.7 s,4.4 s,0.153,2.0 s,0 ms
2026-09-23T10:40:29,https://penunggul.kim.id/berita/read/bkb-anggrek-1-desa-penunggul-gelar-79252-351421201001/0,mobile,74,2.4 s,4.3 s,0.153,3.6 s,50 ms
2026-09-23T10:40:58,https://penunggul.kim.id/berita/read/bkb-anggrek-1-desa-penunggul-gelar-79252-351421201001/0,desktop,86,0.7 s,1.7 s,0.121,1.8 s,0 ms
2026-09-23T10:41:26,https://penunggul.kim.id/berita/read/pj-kepala-desa-penunggul-hadiri-san79251-351421201001/0,mobile,67,3.2 s,6.9 s,0.001,5.1 s,0 ms
2026-09-23T10:41:55,https://penunggul.kim.id/berita/read/pj-kepala-desa-penunggul-hadiri-san79251-351421201001/0,desktop,83,0.9 s,2.0 s,0.125,1.8 s,0 ms
2026-09-23T10:42:24,https://penunggul.kim.id/berita/read/sinergi-membangun-desa-musyawarah-d79249-351421201001/0,mobile,67,3.3 s,6.9 s,0.001,5.2 s,40 ms
2026-09-23T10:42:52,https://penunggul.kim.id/berita/read/sinergi-membangun-desa-musyawarah-d79249-351421201001/0,desktop,87,0.8 s,1.7 s,0.124,1.6 s,0 ms
2026-09-23T10:43:20,https://penunggul.kim.id/berita/read/bkb-anggrek-1-desa-penunggul-gelar-79246-351421201001/0,mobile,67,3.2 s,6.6 s,0.001,5.2 s,20 ms
2026-09-23T10:43:49,https://penunggul.kim.id/berita/read/bkb-anggrek-1-desa-penunggul-gelar-79246-351421201001/0,desktop,87,0.6 s,1.7 s,0.121,1.5 s,0 ms
2026-09-23T10:44:23,https://penunggul.kim.id/berita/read/pj-kepala-desa-penunggul-hadiri-pel79247-351421201001/0,mobile,66,3.2 s,7.1 s,0.001,5.5 s,40 ms
2026-09-23T10:44:52,https://penunggul.kim.id/berita/read/pj-kepala-desa-penunggul-hadiri-pel79247-351421201001/0,desktop,88,0.7 s,1.6 s,0.123,1.5 s,0 ms
2026-09-23T10:45:23,https://penunggul.kim.id/berita/read/bkb-anggrek-1-desa-penunggul-gelar-63999-351421201001/0,mobile,55,3.0 s,17.7 s,0.216,5.3 s,60 ms
2026-09-23T10:45:53,https://penunggul.kim.id/berita/read/bkb-anggrek-1-desa-penunggul-gelar-63999-351421201001/0,desktop,71,0.7 s,3.5 s,0.126,2.3 s,0 ms
2026-09-23T10:46:22,https://penunggul.kim.id/berita/read/sosialisasi-revitalisasi-kim-kabupa60739-351421201001/2,mobile,73,2.4 s,4.7 s,0.146,3.4 s,40 ms
2026-09-23T10:46:56,https://penunggul.kim.id/berita/read/sosialisasi-revitalisasi-kim-kabupa60739-351421201001/2,desktop,76,1.2 s,1.9 s,0.127,3.5 s,0 ms
2026-09-23T10:47:25,https://penunggul.kim.id/berita/read/pkk-desa-penunggul-aktif-dukung-pel79245-351421201001/2,mobile,66,3.2 s,7.3 s,0.001,5.1 s,70 ms
2026-09-23T10:47:54,https://penunggul.kim.id/berita/read/pkk-desa-penunggul-aktif-dukung-pel79245-351421201001/2,desktop,82,0.9 s,2.1 s,0.124,1.9 s,0 ms
2026-09-23T10:48:24,https://penunggul.kim.id/berita/read/kader-desa-penunggul-tingkatkan-kom65085-351421201001/2,mobile,70,3.6 s,5.9 s,0.001,4.0 s,30 ms
2026-09-23T10:48:53,https://penunggul.kim.id/berita/read/kader-desa-penunggul-tingkatkan-kom65085-351421201001/2,desktop,80,0.8 s,2.5 s,0.116,1.8 s,0 ms
2026-09-23T10:49:21,https://penunggul.kim.id/berita/read/edukasi-rehabilitasi-mangrove-di-de62330-351421201001/2,mobile,66,3.3 s,7.9 s,0,5.2 s,30 ms
2026-09-23T10:49:50,https://penunggul.kim.id/berita/read/edukasi-rehabilitasi-mangrove-di-de62330-351421201001/2,desktop,85,0.8 s,2.0 s,0.105,1.8 s,0 ms
2026-09-23T10:50:19,https://penunggul.kim.id/berita/read/pertemuan-rutin-pkk-desa-penunggul-62328-351421201001/2,mobile,64,3.2 s,6.8 s,0.132,4.2 s,0 ms
2026-09-23T10:50:48,https://penunggul.kim.id/berita/read/pertemuan-rutin-pkk-desa-penunggul-62328-351421201001/2,desktop,86,0.9 s,1.9 s,0.108,1.7 s,0 ms
2026-09-23T10:51:16,https://penunggul.kim.id/berita/read/pembinaan-bkb-anggrek-1-desa-penung62069-351421201001/2,mobile,64,3.3 s,6.0 s,0.155,3.9 s,40 ms
2026-09-23T10:51:48,https://penunggul.kim.id/berita/read/pembinaan-bkb-anggrek-1-desa-penung62069-351421201001/2,desktop,77,1.7 s,1.7 s,0.121,2.8 s,0 ms
